# Time(us)	Signal
0.000000000000000000e+00	1.014428926061750946e+00
2.040816326530612290e+00	8.689690246394512485e-01
4.081632653061224580e+00	8.790233126255964091e-01
6.122448979591837315e+00	7.874035306297535453e-01
8.163265306122449161e+00	6.930424878301409963e-01
1.020408163265306101e+01	6.717708394317528642e-01
1.224489795918367463e+01	6.023204536675689225e-01
1.428571428571428648e+01	5.267403105524550710e-01
1.632653061224489832e+01	5.177477059790539515e-01
1.836734693877551194e+01	4.539735116643494606e-01
2.040816326530612201e+01	4.809537473524108653e-01
2.244897959183673564e+01	3.846585220914448544e-01
2.448979591836734926e+01	3.726663379768518358e-01
2.653061224489795933e+01	3.401230402019211896e-01
2.857142857142857295e+01	3.292046043881819428e-01
3.061224489795918302e+01	3.003366819823656275e-01
3.265306122448979664e+01	3.080824422926095596e-01
3.469387755102040671e+01	2.595937901652950464e-01
3.673469387755102389e+01	2.389318363039420190e-01
3.877551020408163396e+01	2.250245843811537472e-01
4.081632653061224403e+01	1.973007820871954254e-01
4.285714285714286120e+01	1.902109869425143707e-01
4.489795918367347127e+01	1.774019028401785103e-01
4.693877551020408134e+01	1.681302589719809448e-01
4.897959183673469852e+01	1.780031983984078081e-01
5.102040816326530859e+01	1.544894882828630744e-01
5.306122448979591866e+01	1.102428844113340356e-01
5.510204081632652873e+01	9.641874273185828403e-02
5.714285714285714590e+01	1.005260864528040310e-01
5.918367346938775597e+01	1.108938795692122892e-01
6.122448979591836604e+01	1.062573350470896877e-01
6.326530612244898322e+01	7.036873201859948634e-02
6.530612244897959329e+01	9.765344833180433781e-02
6.734693877551021046e+01	5.050220978906701241e-02
6.938775510204081343e+01	4.803258428162561489e-02
7.142857142857143060e+01	3.589145737495365307e-02
7.346938775510204778e+01	6.853624855829597295e-02
7.551020408163265074e+01	9.022133630280877725e-02
7.755102040816326792e+01	2.778617136160536558e-02
7.959183673469388509e+01	3.154701916885545299e-02
8.163265306122448806e+01	5.679874254451978965e-02
8.367346938775510523e+01	3.708827917023230919e-02
8.571428571428572241e+01	2.825317018677202599e-02
8.775510204081632537e+01	1.846925171076189975e-02
8.979591836734694255e+01	2.124946382803305153e-02
9.183673469387755972e+01	2.738295118920803031e-02
9.387755102040816269e+01	2.631823860546216726e-02
9.591836734693877986e+01	-1.821255529507246826e-02
9.795918367346939704e+01	1.619199885628858776e-02
1.000000000000000000e+02	7.657749909294239016e-03
