# Time(us)	Signal
0.000000000000000000e+00	1.014747662950193030e+00
2.040816326530612290e+00	8.959708941752352329e-01
4.081632653061224580e+00	8.527490045095331705e-01
6.122448979591837315e+00	7.897945724299801906e-01
8.163265306122449161e+00	7.082798356813336804e-01
1.020408163265306101e+01	6.460101368028141611e-01
1.224489795918367463e+01	6.054069860833434236e-01
1.428571428571428648e+01	5.339653154220915798e-01
1.632653061224489832e+01	5.170878749396241592e-01
1.836734693877551194e+01	4.981770747661475318e-01
2.040816326530612201e+01	4.794636401924954328e-01
2.244897959183673564e+01	4.129142592575322235e-01
2.448979591836734926e+01	3.537000543593663560e-01
2.653061224489795933e+01	3.566044712546778128e-01
2.857142857142857295e+01	3.057230550251611723e-01
3.061224489795918302e+01	2.608844755473403998e-01
3.265306122448979664e+01	2.959571932548059059e-01
3.469387755102040671e+01	2.664372277544907464e-01
3.673469387755102389e+01	2.154253204018850565e-01
3.877551020408163396e+01	2.153037218897229377e-01
4.081632653061224403e+01	1.837407070024710820e-01
4.285714285714286120e+01	1.768219480680126854e-01
4.489795918367347127e+01	1.750058621584104912e-01
4.693877551020408134e+01	1.377465463573943616e-01
4.897959183673469852e+01	1.350829205085503637e-01
5.102040816326530859e+01	9.901207948147475180e-02
5.306122448979591866e+01	1.085646121115351886e-01
5.510204081632652873e+01	1.485200784006574515e-01
5.714285714285714590e+01	9.488026196922848265e-02
5.918367346938775597e+01	8.622012669217254954e-02
6.122448979591836604e+01	6.811072531308441647e-02
6.326530612244898322e+01	1.154414823668657442e-01
6.530612244897959329e+01	8.050666316569123071e-02
6.734693877551021046e+01	5.648885399466932467e-02
6.938775510204081343e+01	4.562681097542057446e-02
7.142857142857143060e+01	6.916212080651423788e-02
7.346938775510204778e+01	1.038695014428102636e-01
7.551020408163265074e+01	3.520385091080444062e-02
7.755102040816326792e+01	4.918657396442625146e-02
7.959183673469388509e+01	1.352526860897727834e-03
8.163265306122448806e+01	5.759571043547798141e-02
8.367346938775510523e+01	5.859486239877670366e-02
8.571428571428572241e+01	2.437578072329829593e-02
8.775510204081632537e+01	-2.687731565374648635e-03
8.979591836734694255e+01	3.428035853819388912e-02
9.183673469387755972e+01	1.600360466138448651e-02
9.387755102040816269e+01	-6.701908021125569520e-03
9.591836734693877986e+01	4.402359683047568639e-02
9.795918367346939704e+01	4.462899074539125946e-03
1.000000000000000000e+02	1.108475078877512246e-02
