# Time(us)	Signal
0.000000000000000000e+00	1.000578808179068746e+00
2.040816326530612290e+00	9.552218367890429329e-01
4.081632653061224580e+00	8.630310180740800030e-01
6.122448979591837315e+00	7.986150544155029563e-01
8.163265306122449161e+00	7.208248113791725364e-01
1.020408163265306101e+01	6.796667197648736947e-01
1.224489795918367463e+01	5.974133076354091187e-01
1.428571428571428648e+01	5.428393900870099875e-01
1.632653061224489832e+01	5.260128424959968907e-01
1.836734693877551194e+01	4.774392329624860820e-01
2.040816326530612201e+01	4.484984358631893264e-01
2.244897959183673564e+01	3.879510085253305984e-01
2.448979591836734926e+01	3.859060729913460497e-01
2.653061224489795933e+01	3.580540182911124969e-01
2.857142857142857295e+01	3.337837089366673671e-01
3.061224489795918302e+01	3.053462038118447963e-01
3.265306122448979664e+01	3.078509176240190603e-01
3.469387755102040671e+01	2.623096711774182133e-01
3.673469387755102389e+01	2.155812781402535183e-01
3.877551020408163396e+01	2.210711017723033800e-01
4.081632653061224403e+01	2.008729529430645366e-01
4.285714285714286120e+01	1.858375388381486581e-01
4.489795918367347127e+01	1.577577610542645892e-01
4.693877551020408134e+01	1.179692627874917299e-01
4.897959183673469852e+01	1.542311833494747486e-01
5.102040816326530859e+01	9.651946021964438738e-02
5.306122448979591866e+01	1.471396654164266182e-01
5.510204081632652873e+01	9.158759081131494229e-02
5.714285714285714590e+01	1.003207749290240675e-01
5.918367346938775597e+01	1.173150722367633375e-01
6.122448979591836604e+01	6.215740643907489288e-02
6.326530612244898322e+01	5.870524339813400216e-02
6.530612244897959329e+01	8.934173694550687217e-02
6.734693877551021046e+01	4.322076543216731015e-02
6.938775510204081343e+01	7.318017979437473064e-02
7.142857142857143060e+01	3.470716326129903717e-02
7.346938775510204778e+01	4.090534840909575837e-02
7.551020408163265074e+01	3.306584642104937882e-02
7.755102040816326792e+01	2.214929036475702176e-02
7.959183673469388509e+01	1.657820282287706184e-02
8.163265306122448806e+01	3.696504885553127118e-02
8.367346938775510523e+01	3.723366307799898939e-02
8.571428571428572241e+01	2.964661337789344098e-02
8.775510204081632537e+01	1.926275024510314127e-02
8.979591836734694255e+01	4.093926283051859544e-02
9.183673469387755972e+01	1.497613097044035897e-02
9.387755102040816269e+01	3.976776871712053851e-02
9.591836734693877986e+01	2.198252633479777160e-02
9.795918367346939704e+01	-1.284967497176441389e-02
1.000000000000000000e+02	6.003442670789799901e-03
