# Time(us)	Signal
0.000000000000000000e+00	9.700730245213349257e-01
2.040816326530612290e+00	9.210457336356332458e-01
4.081632653061224580e+00	8.376767864176721812e-01
6.122448979591837315e+00	7.952186466014422583e-01
8.163265306122449161e+00	7.774226999766088442e-01
1.020408163265306101e+01	6.570616382406921918e-01
1.224489795918367463e+01	6.032378332515941910e-01
1.428571428571428648e+01	5.519598526328652888e-01
1.632653061224489832e+01	5.039103094702486185e-01
1.836734693877551194e+01	4.741588949149691534e-01
2.040816326530612201e+01	4.194675819598978062e-01
2.244897959183673564e+01	4.298453133392718395e-01
2.448979591836734926e+01	3.757216232377455500e-01
2.653061224489795933e+01	3.343055758481072726e-01
2.857142857142857295e+01	3.265212392599996516e-01
3.061224489795918302e+01	3.003207824612006416e-01
3.265306122448979664e+01	2.569243287583249935e-01
3.469387755102040671e+01	2.594310149404606136e-01
3.673469387755102389e+01	2.068904045785948109e-01
3.877551020408163396e+01	1.859398358084304592e-01
4.081632653061224403e+01	1.582438456818413552e-01
4.285714285714286120e+01	1.603779474873317790e-01
4.489795918367347127e+01	1.790531912053515973e-01
4.693877551020408134e+01	1.734784863780166053e-01
4.897959183673469852e+01	1.593357719818344898e-01
5.102040816326530859e+01	1.100179791095795556e-01
5.306122448979591866e+01	9.953384528914585583e-02
5.510204081632652873e+01	1.177889572422031184e-01
5.714285714285714590e+01	1.139837059573455824e-01
5.918367346938775597e+01	8.105179146060220718e-02
6.122448979591836604e+01	9.431545697279322682e-02
6.326530612244898322e+01	9.945652157287193651e-02
6.530612244897959329e+01	7.219851264655460787e-02
6.734693877551021046e+01	6.145917523632957180e-02
6.938775510204081343e+01	6.454897387578273360e-02
7.142857142857143060e+01	8.961415685712725843e-02
7.346938775510204778e+01	4.587807430763696931e-02
7.551020408163265074e+01	5.816888087569384996e-02
7.755102040816326792e+01	3.247386614969578061e-02
7.959183673469388509e+01	3.476994733826371115e-02
8.163265306122448806e+01	4.352998863104011462e-02
8.367346938775510523e+01	2.238358972342778530e-03
8.571428571428572241e+01	5.999209264980801676e-02
8.775510204081632537e+01	4.034464536741899643e-02
8.979591836734694255e+01	8.570308507569308204e-03
9.183673469387755972e+01	3.282243477465156961e-02
9.387755102040816269e+01	1.489021467471114690e-02
9.591836734693877986e+01	2.106353517468165237e-02
9.795918367346939704e+01	2.015240471128285082e-02
1.000000000000000000e+02	-1.656779355431703404e-02
