# Time(us)	Signal
0.000000000000000000e+00	9.621721978026126498e-01
2.040816326530612290e+00	9.488920915443431747e-01
4.081632653061224580e+00	8.718809609817905759e-01
6.122448979591837315e+00	8.111023398275649665e-01
8.163265306122449161e+00	6.821180622220438527e-01
1.020408163265306101e+01	6.835532326554920601e-01
1.224489795918367463e+01	6.009710303129005560e-01
1.428571428571428648e+01	5.598567130870307773e-01
1.632653061224489832e+01	5.393907444621629521e-01
1.836734693877551194e+01	4.622759411867672363e-01
2.040816326530612201e+01	4.378604538829800608e-01
2.244897959183673564e+01	3.834531348465073930e-01
2.448979591836734926e+01	3.867762935471339425e-01
2.653061224489795933e+01	3.248940729320514698e-01
2.857142857142857295e+01	3.406632708477144167e-01
3.061224489795918302e+01	2.676225762529209629e-01
3.265306122448979664e+01	2.752979161640278782e-01
3.469387755102040671e+01	2.547017584034709237e-01
3.673469387755102389e+01	2.574719491241431735e-01
3.877551020408163396e+01	2.083335009986123088e-01
4.081632653061224403e+01	2.223149077137319685e-01
4.285714285714286120e+01	1.465367776745407080e-01
4.489795918367347127e+01	1.761601995663744091e-01
4.693877551020408134e+01	1.564143429216736658e-01
4.897959183673469852e+01	1.066847950300286729e-01
5.102040816326530859e+01	1.488395094269131247e-01
5.306122448979591866e+01	1.334235518652717722e-01
5.510204081632652873e+01	8.375267654499340964e-02
5.714285714285714590e+01	9.452300505683045029e-02
5.918367346938775597e+01	7.364589803133544943e-02
6.122448979591836604e+01	9.776325750793271596e-02
6.326530612244898322e+01	6.797940035708792406e-02
6.530612244897959329e+01	8.004680871777795914e-02
6.734693877551021046e+01	8.784584619363061675e-02
6.938775510204081343e+01	5.132593569894734059e-02
7.142857142857143060e+01	7.659394534787766773e-02
7.346938775510204778e+01	4.954457781669281691e-02
7.551020408163265074e+01	5.836727635870520708e-02
7.755102040816326792e+01	7.643523055943562960e-02
7.959183673469388509e+01	6.160936531701302621e-02
8.163265306122448806e+01	7.302951566102043601e-02
8.367346938775510523e+01	5.243939711724661390e-03
8.571428571428572241e+01	5.643936831485768524e-02
8.775510204081632537e+01	5.367814102713017177e-02
8.979591836734694255e+01	4.447154213573233095e-02
9.183673469387755972e+01	3.149644657826906197e-02
9.387755102040816269e+01	3.965689688474178382e-02
9.591836734693877986e+01	-1.982935837520454284e-02
9.795918367346939704e+01	2.048608379086351572e-02
1.000000000000000000e+02	1.091266352399426764e-02
