# Time(us)	Signal
0.000000000000000000e+00	9.903892910831297858e-01
2.040816326530612290e+00	8.753614480208440352e-01
4.081632653061224580e+00	8.524820376224261365e-01
6.122448979591837315e+00	8.225549021907403446e-01
8.163265306122449161e+00	7.269984388463930358e-01
1.020408163265306101e+01	6.882579456382016403e-01
1.224489795918367463e+01	6.061610977933936661e-01
1.428571428571428648e+01	5.653615964189315779e-01
1.632653061224489832e+01	5.037221665102822321e-01
1.836734693877551194e+01	4.858374378338112254e-01
2.040816326530612201e+01	4.520980618561261100e-01
2.244897959183673564e+01	3.600770122293156517e-01
2.448979591836734926e+01	3.569612525440549189e-01
2.653061224489795933e+01	3.141357323770276322e-01
2.857142857142857295e+01	3.329924412776134046e-01
3.061224489795918302e+01	3.250970141681185366e-01
3.265306122448979664e+01	2.647563135995929517e-01
3.469387755102040671e+01	2.456379231470206259e-01
3.673469387755102389e+01	2.463107720289406111e-01
3.877551020408163396e+01	1.834264096110705122e-01
4.081632653061224403e+01	2.252564198628239922e-01
4.285714285714286120e+01	1.744435945657929476e-01
4.489795918367347127e+01	1.813169627642720327e-01
4.693877551020408134e+01	1.374292463055337976e-01
4.897959183673469852e+01	1.043677757913543114e-01
5.102040816326530859e+01	1.528637782278400026e-01
5.306122448979591866e+01	1.018328905288503061e-01
5.510204081632652873e+01	1.341204786942904181e-01
5.714285714285714590e+01	7.045543552850752622e-02
5.918367346938775597e+01	6.621261675729545049e-02
6.122448979591836604e+01	1.019106733592733960e-01
6.326530612244898322e+01	6.706351210792386996e-02
6.530612244897959329e+01	3.731315105303111695e-02
6.734693877551021046e+01	5.191191296583579778e-02
6.938775510204081343e+01	5.477008572966633737e-02
7.142857142857143060e+01	4.404565201870584701e-02
7.346938775510204778e+01	5.899643873200074301e-02
7.551020408163265074e+01	3.055466030543214570e-02
7.755102040816326792e+01	5.478912671506595833e-03
7.959183673469388509e+01	3.747911795939842805e-02
8.163265306122448806e+01	5.402051166630812695e-02
8.367346938775510523e+01	1.808304059185825846e-02
8.571428571428572241e+01	1.395941255979879156e-02
8.775510204081632537e+01	5.735923520022979255e-02
8.979591836734694255e+01	3.673517113332920581e-02
9.183673469387755972e+01	2.650232952792147545e-02
9.387755102040816269e+01	3.475587368109406966e-02
9.591836734693877986e+01	2.110424780099424968e-02
9.795918367346939704e+01	-1.618581981507280151e-02
1.000000000000000000e+02	-1.034366527902062100e-02
