# Time(us)	Signal
0.000000000000000000e+00	9.919810974609436505e-01
2.040816326530612290e+00	9.278160397186611119e-01
4.081632653061224580e+00	8.357242101148468771e-01
6.122448979591837315e+00	7.835601795764519650e-01
8.163265306122449161e+00	6.944401044395606126e-01
1.020408163265306101e+01	6.824918643544667374e-01
1.224489795918367463e+01	6.148330613420853741e-01
1.428571428571428648e+01	5.513952643734182368e-01
1.632653061224489832e+01	5.247123748094986162e-01
1.836734693877551194e+01	4.802319930326204300e-01
2.040816326530612201e+01	4.185225388801638302e-01
2.244897959183673564e+01	4.081149234088454203e-01
2.448979591836734926e+01	3.580135336060403239e-01
2.653061224489795933e+01	3.785072219154962947e-01
2.857142857142857295e+01	3.154662796998166652e-01
3.061224489795918302e+01	2.445212185532794624e-01
3.265306122448979664e+01	2.916015207472903992e-01
3.469387755102040671e+01	2.642574356230193988e-01
3.673469387755102389e+01	2.308739817318007370e-01
3.877551020408163396e+01	2.177829052662303977e-01
4.081632653061224403e+01	1.862051452275652885e-01
4.285714285714286120e+01	1.843932416561152032e-01
4.489795918367347127e+01	1.795716248698283057e-01
4.693877551020408134e+01	1.509056982477411657e-01
4.897959183673469852e+01	1.421371556626561672e-01
5.102040816326530859e+01	1.405196579975914184e-01
5.306122448979591866e+01	1.624064900414629309e-01
5.510204081632652873e+01	1.008669976393515993e-01
5.714285714285714590e+01	1.308341498627851318e-01
5.918367346938775597e+01	1.217284646069419357e-01
6.122448979591836604e+01	9.314004391370406255e-02
6.326530612244898322e+01	5.857389752065906424e-02
6.530612244897959329e+01	1.017235629973253924e-01
6.734693877551021046e+01	6.895166804976261832e-02
6.938775510204081343e+01	4.051554816126241854e-02
7.142857142857143060e+01	2.753481784029013918e-02
7.346938775510204778e+01	4.288112638477807603e-02
7.551020408163265074e+01	3.641061650415746559e-02
7.755102040816326792e+01	4.268385987785979635e-02
7.959183673469388509e+01	1.103604010178214911e-02
8.163265306122448806e+01	5.256327071105720838e-02
8.367346938775510523e+01	5.145067256664898059e-02
8.571428571428572241e+01	6.555097774982823755e-03
8.775510204081632537e+01	2.243321083151261774e-02
8.979591836734694255e+01	5.254926988672875554e-02
9.183673469387755972e+01	1.117264254475597816e-02
9.387755102040816269e+01	2.474150723646306033e-02
9.591836734693877986e+01	-1.297608220757669531e-02
9.795918367346939704e+01	2.127673127819742008e-02
1.000000000000000000e+02	3.967871839982364118e-02
